District,students_sat,students_passed,stream,year
Jaffna,111,84,bio sys tech,2022
Anuradhapura,337,253,bio sys tech,2022
Matale,260,194,bio sys tech,2022
Kurunegala,637,469,bio sys tech,2022
Puttalam,145,106,bio sys tech,2022
Mullaitivu,26,19,bio sys tech,2022
Kandy,647,468,bio sys tech,2022
Matara,377,271,bio sys tech,2022
Galle,258,184,bio sys tech,2022
Polonnaruwa,145,102,bio sys tech,2022
Monaragala,255,178,bio sys tech,2022
Ratnapura,596,416,bio sys tech,2022
Nuwara Eliya,315,215,bio sys tech,2022
Hambantota,373,253,bio sys tech,2022
Mannar,29,19,bio sys tech,2022
Kilinochchi,21,13,bio sys tech,2022
All Island,7408,5501,bio sys tech,2022
Matar,1067,814,eng tech,2021
Colombo,1652,1245,eng tech,2021
Galle,941,683,eng tech,2021
Kurunegala,1584,1138,eng tech,2021
Gampaha,1808,1297,eng tech,2021
Hambantota,643,452,eng tech,2021
Matale,413,290,eng tech,2021
Badulla,899,629,eng tech,2021
Ratnapura,1001,694,eng tech,2021
Kalutara,903,613,eng tech,2021
Kegalle,335,227,eng tech,2021
Polonnaruwa,353,231,eng tech,2021
Nuwara Eliya,494,331,eng tech,2021
Kandy,1245,824,eng tech,2021
Puttalam,496,324,eng tech,2021
Batticaloa,397,258,eng tech,2021
Trincomalee,247,159,eng tech,2021
Anuradhapura,904,563,eng tech,2021
Monaragala,482,284,eng tech,2021
Ampara,654,365,eng tech,2021
Jaffna,106,57,eng tech,2021
Vavuniya,34,18,eng tech,2021
Mullaitivu,52,25,eng tech,2021
Mannar,57,23,eng tech,2021
Kilinochchi,56,25,eng tech,2021
All Island,17787,12243,eng tech,2021
Jaffna,1548,978,bio science,2021
Colombo,4439,2761,bio science,2021
Galle,2519,1542,bio science,2021
Kalutara,2318,1411,bio science,2021
Matara,1911,1162,bio science,2021
Trincomalee,760,459,bio science,2021
Puttalam,1166,703,bio science,2021
Batticaloa,1129,673,bio science,2021
Gampaha,3241,1861,bio science,2021
Mannar,220,126,bio science,2021
Ampara,1780,1015,bio science,2021
Kandy,3383,1918,bio science,2021
Hambantota,1707,955,bio science,2021
Ratnapura,2226,1227,bio science,2021
Matale,949,523,bio science,2021
Mullaitivu,195,106,bio science,2021
Kegalle,2011,1093,bio science,2021
Kurunegala,3659,1844,bio science,2021
Badulla,1680,892,bio science,2021
Vavuniya,347,183,bio science,2021
Nuwara Eliya,1220,637,bio science,2021
Anuradhapura,1704,833,bio science,2021
Monaragala,987,478,bio science,2021
Polonnaruwa,793,358,bio science,2021
Kilinochchi,266,118,bio science,2021
All Island,42158,23996,bio science,2021
