District,year,degree,z-score_cutoff
PUTTALAM,2019,VETERINARY SCIENCE University of Peradeniya,1.6815
KURUNEGALA,2019,VETERINARY SCIENCE University of Peradeniya,1.9475
ANURADHAPURA,2019,VETERINARY SCIENCE University of Peradeniya,1.5338
POLONNARUWA,2019,VETERINARY SCIENCE University of Peradeniya,1.5868
BADULLA,2019,VETERINARY SCIENCE University of Peradeniya,1.7594
MONARAGALA,2019,VETERINARY SCIENCE University of Peradeniya,1.4732
KEGALLE,2019,VETERINARY SCIENCE University of Peradeniya,1.9538
RATNAPURA,2019,VETERINARY SCIENCE University of Peradeniya,1.8881
COLOMBO,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9949
GAMPAHA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9077
KALUTARA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9906
MATALE,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.692
KANDY,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9561
NUWARA ELIYA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.4608
GALLE,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9446
MATARA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9782
HAMBANTOTA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.756
JAFFNA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9358
KILINOCHCHI,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.1372
MANNAR,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.7886
MULLAITIVU,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,0.5986
VAVUNIYA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.5638
TRINCOMALEE,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.7248
BATTICALOA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.6271
AMPARA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.5856
PUTTALAM,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.7424
KURUNEGALA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9997
ANURADHAPURA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.5341
POLONNARUWA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.4669
BADULLA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.7327
MONARAGALA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.3232
KEGALLE,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,2.0005
RATNAPURA,2019,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,1.9281
COLOMBO,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.5348
GAMPAHA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.688
KALUTARA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.581
MATALE,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.2934
KANDY,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.7639
NUWARA ELIYA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.3991
GALLE,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.7428
MATARA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.7588
HAMBANTOTA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.6244
JAFFNA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.6369
KILINOCHCHI,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.0568
MANNAR,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.3195
MULLAITIVU,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,0.3502
VAVUNIYA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.4562
TRINCOMALEE,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.1063
BATTICALOA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.5406
AMPARA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.3826
PUTTALAM,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.5286
KURUNEGALA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.64
ANURADHAPURA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.5189
POLONNARUWA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.1585
BADULLA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.6449
MONARAGALA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.1822
KEGALLE,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.6812
RATNAPURA,2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,1.7632
COLOMBO,2019,AGRICULTURE University of Jaffna,0.9845
GAMPAHA,2019,AGRICULTURE University of Jaffna,0.8692
KALUTARA,2019,AGRICULTURE University of Jaffna,1.065
MATALE,2019,AGRICULTURE University of Jaffna,1.0423
KANDY,2019,AGRICULTURE University of Jaffna,1.4291
NUWARA ELIYA,2019,AGRICULTURE University of Jaffna,0.8936
GALLE,2019,AGRICULTURE University of Jaffna,1.1144
MATARA,2019,AGRICULTURE University of Jaffna,NQC
HAMBANTOTA,2019,AGRICULTURE University of Jaffna,NQC
JAFFNA,2019,AGRICULTURE University of Jaffna,0.9846
KILINOCHCHI,2019,AGRICULTURE University of Jaffna,0.6444
MANNAR,2019,AGRICULTURE University of Jaffna,1.0231
MULLAITIVU,2019,AGRICULTURE University of Jaffna,0.2643
VAVUNIYA,2019,AGRICULTURE University of Jaffna,0.5594
TRINCOMALEE,2019,AGRICULTURE University of Jaffna,0.7839
BATTICALOA,2019,AGRICULTURE University of Jaffna,0.8961
AMPARA,2019,AGRICULTURE University of Jaffna,0.8817
PUTTALAM,2019,AGRICULTURE University of Jaffna,0.8191
