District,stream,degree,year,students_sat,students_passed,z-score_cutoff
kandy,biological science,AGRICULTURE University of Jaffna,2019,1615,860,1.4291
nuwara eliya,biological science,AGRICULTURE University of Jaffna,2019,518,239,0.8936
galle,biological science,AGRICULTURE University of Jaffna,2019,1271,694,1.1144
jaffna,biological science,AGRICULTURE University of Jaffna,2019,779,482,0.9846
kilinochchi,biological science,AGRICULTURE University of Jaffna,2019,114,72,0.6444
mannar,biological science,AGRICULTURE University of Jaffna,2019,102,56,1.0231
mullaitivu,biological science,AGRICULTURE University of Jaffna,2019,81,42,0.2643
vavuniya,biological science,AGRICULTURE University of Jaffna,2019,170,85,0.5594
trincomalee,biological science,AGRICULTURE University of Jaffna,2019,331,182,0.7839
batticaloa,biological science,AGRICULTURE University of Jaffna,2019,502,293,0.8961
ampara,biological science,AGRICULTURE University of Jaffna,2019,730,355,0.8817
puttalam,biological science,AGRICULTURE University of Jaffna,2019,493,284,0.8191
kurunegala,biological science,AGRICULTURE University of Jaffna,2019,1567,802,1.0562
anuradhapura,biological science,AGRICULTURE University of Jaffna,2019,703,266,0.6214
polonnaruwa,biological science,AGRICULTURE University of Jaffna,2019,338,117,0.6443
badulla,biological science,AGRICULTURE University of Jaffna,2019,784,399,0.9115
monaragala,biological science,AGRICULTURE University of Jaffna,2019,372,136,1.0619
kegalle,biological science,AGRICULTURE University of Jaffna,2019,972,467,1.113
ratnapura,biological science,AGRICULTURE University of Jaffna,2019,943,476,0.9494
colombo,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,2688,1838,1.0438
gampaha,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,1648,970,0.7995
matale,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,443,179,0.8997
kandy,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,1615,860,1.153
nuwara eliya,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,518,239,0.9256
galle,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,1271,694,1.0143
hambantota,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,722,317,1.0648
jaffna,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,779,482,0.9781
mullaitivu,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,81,42,0.3086
trincomalee,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,331,182,1.0456
batticaloa,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,502,293,0.9385
ampara,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,730,355,0.9147
puttalam,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,493,284,0.7748
kurunegala,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,1567,802,1.0611
anuradhapura,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,703,266,0.6238
polonnaruwa,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,338,117,0.5638
ratnapura,biological science,"AGRICULTURE Eastern University, Sri Lanka",2019,943,476,0.8146
colombo,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,2688,1838,0.9613
gampaha,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,1648,970,0.9507
kalutara,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,1018,609,0.9825
matale,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,443,179,1.0682
kandy,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,1615,860,1.0569
nuwara eliya,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,518,239,1.0068
galle,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,1271,694,0.9876
hambantota,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,722,317,0.996
batticaloa,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,502,293,1.1973
ampara,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,730,355,0.9318
puttalam,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,493,284,0.9814
kurunegala,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,1567,802,1.0683
anuradhapura,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,703,266,0.9416
badulla,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,784,399,1.0051
kegalle,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,972,467,1.0826
ratnapura,biological science,AGRICULTURE Rajarata University of Sri Lanka,2019,943,476,0.9773
