Year,District,Programme,Stream,Number,Passed,Z-Score
2022,MATALE,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7073
2022,KANDY,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8169
2022,NUWARA ELIYA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7308
2022,GALLE,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,
2022,MATARA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,
2022,HAMBANTOTA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7765
2022,JAFFNA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8724
2022,KILINOCHCHI,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7943
2022,MANNAR,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7335
2022,MULLAITIVU,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8819
2022,VAVUNIYA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8433
2022,TRINCOMALEE,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7138
2022,BATTICALOA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8226
2022,AMPARA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8321
2022,PUTTALAM,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7175
2022,KURUNEGALA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8028
2022,ANURADHAPURA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7109
2022,POLONNARUWA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7355
2022,BADULLA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7099
2022,MONARAGALA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7277
2022,KEGALLE,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.8226
2022,RATNAPURA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.752
2022,COLOMBO,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9559
